ADDRESS,C01,Expenses,Income
2000009062,7,102337313,95503981
2000013216,6,57286328,59226328
2000014012,6,104899828,92621328
2000004143,6,87182848,118970128
2000030106,6,36166940,56515940
2000038162,6,121502328,141356328
2000043112,8,51557104,81355104
2000043118,7,79669216,87320716
2000043122,7,88959216,50555716
2000043125,7,90531716,81515716
2000044170,6,71368328,81212998
2000046258,6,112374328,78871328
2000047121,6,78943000,119726004
2000053008,7,78901716,41930716
2000053015,6,54175328,44230328
2000054111,7,92955714,34098714
2000061014,8,81131104,61667104
2000063160,7,117783716,134160716
2000068199,6,50286600,50400000
2000068202,7,58933500,35916000
2000069150,6,110316000,94970000
2000072113,6,59858928,114206328
2000074059,6,98803640,230053200
2000077193,6,54471940,67817938
2000083219,6,70298828,48218328
2000093010,10,81726880,52058880
2000096152,10,126062380,105035880
2000101007,8,73934964,81543172
2000114191,8,47674104,68015104
2000115004,7,103541216,82995716
2000126153,7,87965716,73708716
2000130061,6,72272328,191116328
2000133043,6,108955328,66706328
2000133052,6,109019040,82327940
2000135018,6,99134328,39846328
2000139165,8,115535104,111815104
2000141158,6,69351328,211226328
2000148118,9,124689604,124125104
2000155101,7,102028716,90480716
2000164013,6,96068828,102814328
2010016048,6,109713788,126596328
2010017011,7,27877000,39135000
2010018072,6,37764200,57640000
2010019055,6,123542148,85746328
2010022184,6,78412328,45346328
2010031164,6,66505468,101676328
2010033013,8,58731324,138901104
2010048061,6,83546268,100156328
2010064004,7,63410228,55796028
2010065005,6,80773880,48563080
2010072060,6,73703884,70855164
2010072071,6,92411368,132386368
2010074005,6,119207000,114600000
2010076122,6,67351328,148080328
2010077013,6,62226328,97480328
2010079108,8,108790664,109963664
2010083122,6,23019828,41066328
2010087056,9,76769000,102250000
2010088054,6,81320688,123101328
2010089113,6,48354428,70696328
2010094012,7,62261820,94490100
2010096315,6,59506188,48044328
2010097120,8,11828328,18678328
2010105067,6,54504220,93259940
2010106061,7,90761600,122463400
2010114177,6,115238328,130686328
2010121162,6,107306000,113484000
2010125062,6,98321928,36296328
2010126105,9,73979992,60429492
2020001106,7,50786440,122745940
2020003164,6,57834828,93190328
2020006148,6,89264940,192507940
2020006159,6,65807828,94750328
2020017119,6,86582328,95306328
2020020109,7,100651340,191376940
2020020113,6,97182000,120540000
2020028196,6,96838000,73224000
2020031004,6,81875328,106666328
2020038061,6,92142328,147296328
2020040018,7,122238116,171234716
2020046009,6,67163628,138936328
2020060099,6,67055336,99121936
2020061007,6,43442200,63302000
2020071010,6,95898531,145965160
2020085013,6,106859400,70250000
2020087064,6,57587552,155137552
2020095161,6,81161548,110751528
2020119143,6,122236328,121160328
2020126109,7,117129840,129048240
2020127183,6,58221410,113160710
2030001223,6,112045328,19794328
2030001227,6,92655940,47866940
2030001230,6,101890328,57896328
2030002009,6,77872328,61696328
2030003057,6,56446328,83076328
2030003066,7,37190716,72760716
2030004165,6,56938000,106300000
2030006197,6,53889328,39836328
2030006199,6,52420328,71486328
2030006209,8,76413104,77445104
2030011112,6,105547000,102420000
2030011122,6,77468328,90806328
2030015007,7,93966716,128420716
2030016130,9,123933692,71619492
2030020013,6,114693552,222697552
2030022171,6,64434000,150660008
2030024181,6,123474328,129386328
2030034012,9,108257492,80789492
2030035166,7,129575104,86475104
2030041153,7,52770716,70030716
2030047142,6,77700328,157376328
2030051158,7,82694516,134470716
2030055100,6,104565328,30356328
2030058006,6,56242328,88856328
2030058016,7,80162716,71370716
2030059128,10,92030480,86268880
2030062172,6,52755328,51176328
2030066007,7,48574716,87095716
2030066010,6,32360328,86396328
2030067118,7,73803516,62320716
2030067121,6,79355168,85386328
2030070207,6,43877328,80946328
2030071319,6,100105328,82446328
2030081016,8,41969104,76235104
2030086062,8,122955104,172595104
2030089204,8,105864104,70815104
2030089205,7,41160000,36060000
2030090008,6,70633328,63286328
2030090012,6,47882328,53086328
2030090016,7,58368716,95560716
2030091115,6,72177328,84431328
2030092204,6,2971940,29971940
2030094119,7,89833716,70962716
2030098166,6,66554328,56001328
2030099004,8,90717104,221695104
2030102058,6,38890716,88215716
2030105151,13,91594268,46388268
2030105154,6,53628328,54092328
2030114171,7,65219716,73385716
2030117061,6,100701328,163846332
2030125302,11,117200268,38048268
2030125312,6,62611328,66116328
2030127113,7,61661716,170155716
2030129058,8,112011104,20155104
2030129062,6,30244328,27326328
2030131168,6,59360328,79506328
2030133146,9,73279492,82624492
2030133148,8,70525104,46282604
2030134060,7,56190716,202175716
2030134065,7,75914716,106575716
2030135065,9,67331292,123282492
2040001163,8,121331104,73485104
2040002239,8,66446604,65919104
2040002244,6,92098328,80806328
2040002247,6,90934440,69156940
2040002249,7,60282716,41420716
2040005308,11,69022768,90452268
2040006159,9,112174492,96232492
2040006162,10,97122880,75997880
2040007063,8,64839104,115135104
2040008058,6,110738328,75516328
2040008068,6,46578328,95936328
2040009009,7,125278216,87726716
2040009018,6,98130828,89166328
2040010121,6,77508828,45760328
2040011071,7,50849716,82375716
2040013054,6,46218328,47576328
2040013064,6,103573328,63816328
2040014160,6,125530940,80187940
2040014163,8,100098104,85727104
2040018006,7,76466716,56650716
2040019172,6,60706328,134186328
2040021106,7,119582716,87660716
2040021111,6,107074216,68480716
2040022118,7,98733548,113175552
2040023225,6,88536940,89096940
2040025070,9,128667104,72186104
2040026171,6,65742828,78994328
2040033146,10,128327768,88338268
2040033150,8,99171104,67675104
2040033153,6,91239328,144426328
2040034010,7,103256716,80167716
2040036065,6,92815164,51828164
2040037016,6,38403328,97136328
2040038059,6,73906328,103296328
2040040061,7,111720716,44190716
2040040064,6,69968328,55576328
2040042160,6,100318328,105896328
2040045057,9,114977492,81589492
2040045059,8,62736104,90949104
2040045066,11,95949768,72098268
2040045069,7,62868716,28260716
2040046060,7,97130716,81439716
2040046067,7,63490216,54642716
2040047009,6,63094328,141556328
2040048014,7,99667716,192217716
2040050006,6,62441828,59580328
2040050012,6,32546328,28246328
2040050018,6,105646328,76438328
2040051059,6,117457328,80076328
2040052150,14,117188432,130771432
2040052151,6,115597328,100120328
2040052157,7,45056216,50700716
2040053158,8,67386104,77935104
2040053162,6,68818328,81126328
2040054162,9,96579492,81971492
2040055196,8,97235104,102432104
2040055206,7,88728216,100447716
2040056222,7,97408716,62535716
2040058112,6,75816328,58500328
2040059063,8,100184776,114648776
